MAG	Depth	Bacteria	Phylum	Class	Order	Family	Genus	Species
AcS5-10	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__BOG-931	s__
AcS5-100	Surface	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA6257	f__2-01-FULL-56-20	g__	s__
AcS5-101	Surface	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__	s__
AcS5-102	Surface	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Palsa-955	s__
AcS5-103	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__AP-15	s__
AcS5-104	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS5-105	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__BOG-935	s__
AcS5-106	Surface	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__	s__
AcS5-107	Surface	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__	s__
AcS5-108	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__PALSA-350	s__
AcS5-109	Surface	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__	s__
AcS5-11	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__	s__
AcS5-110	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__Palsa-295	s__
AcS5-111	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__	s__
AcS5-112	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Bog-793	g__	s__
AcS5-113	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__PALSA-1355	g__	s__
AcS5-114	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__UBA7541	s__
AcS5-115	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS5-116	Surface	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__	s__
AcS5-117	Surface	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__UBA8621	s__
AcS5-118	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__	s__
AcS5-119	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS5-12	Surface	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__Palsa-1233	s__
AcS5-120	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
AcS5-121	Surface	d__Bacteria	p__Dormibacterota	c__Dormibacteria	o__Dormibacterales	f__Dormibacteraceae	g__	s__
AcS5-122	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Nocardia	s__
AcS5-123	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
AcS5-124	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__	s__
AcS5-125	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__FEN-1191	s__
AcS5-126	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__BOG-931	s__
AcS5-127	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-513	s__
AcS5-13	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Rudaea	s__
AcS5-130	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__	s__
AcS5-133	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__	s__
AcS5-135	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__13-2-20CM-66-19	s__
AcS5-136	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Palsa-506	s__
AcS5-14	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Roseiarcus	s__
AcS5-15	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SCQP01	g__	s__
AcS5-16	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__	s__
AcS5-17	Surface	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_A	g__Bacillus_BD	s__
AcS5-18	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__VAYN01	s__
AcS5-19	Surface	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__UBA183	g__BOG-1369	s__
AcS5-2	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
AcS5-20	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__Palsa-1483	s__
AcS5-21	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-465	s__
AcS5-22	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__GAS188	s__
AcS5-23	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__Palsa-1483	s__
AcS5-24	Surface	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosotalea	s__
AcS5-25	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__BOG-994	s__
AcS5-26	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__	s__
AcS5-27	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__UBA11358	s__
AcS5-28	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Palsa-739	s__
AcS5-29	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__	s__
AcS5-3	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
AcS5-30	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__	s__
AcS5-32	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Eremiobacterales	f__Eremiobacteraceae	g__	s__
AcS5-33	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
AcS5-34	Surface	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__	s__
AcS5-35	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-465	s__
AcS5-36	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudolabrys	s__
AcS5-37	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
AcS5-38	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__Bog-1198	s__
AcS5-39	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
AcS5-4	Surface	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__UBA10452	s__
AcS5-40	Surface	d__Bacteria	p__Dormibacterota	c__Dormibacteria	o__Dormibacterales	f__Dormibacteraceae	g__Palsa-870	s__
AcS5-41	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SCQP01	g__	s__
AcS5-42	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__VAYN01	s__
AcS5-43	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Palsa-459	s__
AcS5-44	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__PALSA-1484	s__
AcS5-45	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Eremiobacterales	f__Eremiobacteraceae	g__	s__
AcS5-46	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__UBA1301	f__UBA1301	g__UBA6038	s__
AcS5-47	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__
AcS5-48	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
AcS5-49	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Palsa-1005	g__VBCG01	s__
AcS5-5	Surface	d__Bacteria	p__Chloroflexota	c__UBA5177	o__UBA5177	f__	g__	s__
AcS5-50	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__	s__
AcS5-51	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Palsa-881	s__
AcS5-52	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Bog-793	g__	s__
AcS5-53	Surface	d__Bacteria	p__Chloroflexota	c__Ktedonobacteria	o__Ktedonobacterales	f__	g__	s__
AcS5-54	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-465	s__
AcS5-55	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__	s__
AcS5-56	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__SLND01	f__	g__	s__
AcS5-57	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Palsa-506	s__
AcS5-58	Surface	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__	s__
AcS5-59	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__Palsa-360	s__
AcS5-6	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Bog-473	s__
AcS5-60	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__Palsa-1483	s__
AcS5-61	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__PALSA-600	s__
AcS5-62	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__PALSA-555	g__PALSA-555	s__
AcS5-63	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__Palsa-295	s__
AcS5-64	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__SLND01	f__	g__	s__
AcS5-65	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Bog-793	g__	s__
AcS5-66	Surface	d__Bacteria	p__Chloroflexota	c__UBA5177	o__UBA5177	f__	g__	s__
AcS5-67	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Palsa-742	s__
AcS5-68	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Eremiobacterales	f__Eremiobacteraceae	g__	s__
AcS5-69	Surface	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__UBA4664	f__UBA4664	g__UBA5169	s__
AcS5-7	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Edaphobacter	s__
AcS5-70	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SCQP01	g__	s__
AcS5-71	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Palsa-506	s__
AcS5-72	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Palsa-506	s__
AcS5-73	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__	s__
AcS5-74	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__UBA11358	s__
AcS5-75	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-744	s__
AcS5-76	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__	s__
AcS5-77	Surface	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__	s__
AcS5-78	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__	s__
AcS5-79	Surface	d__Bacteria	p__Armatimonadota	c__BOG-944	o__Capsulimonadales	f__BOG-944	g__	s__
AcS5-8	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-465	s__
AcS5-80	Surface	d__Bacteria	p__Dormibacterota	c__Dormibacteria	o__Dormibacterales	f__Dormibacteraceae	g__Palsa-872	s__
AcS5-81	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS5-82	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__BOG-931	s__
AcS5-83	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Palsa-459	s__
AcS5-84	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Palsa-506	s__
AcS5-85	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__PALSA-1529	s__
AcS5-86	Surface	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__	s__
AcS5-87	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Bog-793	g__Palsa-601	s__
AcS5-88	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__AP-15	s__
AcS5-89	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-744	s__
AcS5-9	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-744	s__
AcS5-90	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__UBA1301	f__UBA1301	g__UBA6038	s__
AcS5-91	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__	s__
AcS5-92	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__	s__
AcS5-93	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__Bog-1198	s__
AcS5-94	Surface	d__Bacteria	p__Firmicutes_E	c__Thermaerobacteria	o__	f__	g__	s__
AcS5-95	Surface	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__UBA10452	s__
AcS5-96	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Palsa-1005	g__VBCG01	s__
AcS5-97	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Palsa-459	s__
AcS5-98	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__13-2-20CM-66-19	s__
AcS5-99	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-465	s__
AcS7-1	Surface	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Mucilaginibacter	s__
AcS7-10	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__	s__
AcS7-100	Surface	d__Bacteria	p__Verrucomicrobiota_A	c__Chlamydiia	o__Parachlamydiales	f__Rhabdochlamydiaceae	g__	s__
AcS7-101	Surface	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Dinghuibacter	s__
AcS7-102	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
AcS7-103	Surface	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Palsa-1150	s__
AcS7-104	Surface	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Palsa-1150	s__
AcS7-105	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__	s__
AcS7-106	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__	s__
AcS7-107	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__PALSA-457	s__
AcS7-108	Surface	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
AcS7-109	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Planctomycetales	f__Planctomycetaceae	g__Schlesneria	s__
AcS7-11	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__	s__
AcS7-110	Surface	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983	f__UBA2163	g__UBA10103	s__
AcS7-111	Surface	d__Bacteria	p__Omnitrophota	c__Koll11	o__UBA10015	f__GCA-002753745	g__	s__
AcS7-112	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__28-YEA-48	s__
AcS7-113	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-744	s__
AcS7-114	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Roseiarcus	s__
AcS7-115	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Magnetospirillaceae	g__Telmatospirillum	s__
AcS7-116	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__Bog-1198	s__
AcS7-117	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__	s__
AcS7-118	Surface	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104	f__Fen-1088	g__	s__
AcS7-119	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__	s__
AcS7-12	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__	s__
AcS7-120	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__UBA11358	s__
AcS7-121	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__BOG-234	s__
AcS7-122	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Palsa-288	s__
AcS7-123	Surface	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__UBA1161	f__UBA1161	g__PALSA-1353	s__
AcS7-124	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS7-125	Surface	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__	g__	s__
AcS7-126	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__BOG-934	s__
AcS7-127	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Paucibacter_A	s__
AcS7-128	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS7-129	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS7-13	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__	s__
AcS7-130	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__UBA1301	f__UBA1301	g__UBA6038	s__
AcS7-131	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__PALSA-1355	g__	s__
AcS7-132	Surface	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__	s__
AcS7-133	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__13-2-20CM-66-19	s__
AcS7-134	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS7-135	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__BOG-938	s__
AcS7-136	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__	s__
AcS7-137	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Bog-473	s__
AcS7-138	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Palsa-881	s__
AcS7-139	Surface	d__Bacteria	p__FCPU426	c__Palsa-1180	o__Palsa-1180	f__Palsa-1180	g__	s__
AcS7-14	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__UBA1301	f__UBA1301	g__UBA6038	s__
AcS7-140	Surface	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Fen-1231	s__
AcS7-141	Surface	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983	f__UBA2163	g__UBA10103	s__
AcS7-142	Surface	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__	s__
AcS7-143	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS7-144	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__	s__
AcS7-145	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__BOG-934	s__
AcS7-146	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-513	s__
AcS7-147	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Coxiellales	f__Coxiellaceae	g__2-02-FULL-42-43	s__
AcS7-148	Surface	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA6257	f__2-01-FULL-56-20	g__	s__
AcS7-149	Surface	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA6257	f__2-01-FULL-56-20	g__	s__
AcS7-15	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS7-150	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__	g__	s__
AcS7-151	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__	s__
AcS7-152	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__	s__
AcS7-153	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS7-154	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS7-155	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS7-156	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__BOG-234	s__
AcS7-157	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Palsa-1447	s__
